X,Y,Z,MD,Incl,Az GN,Az TN,DX,DY,DX TN,DY TN,TVD,TWT,DLS
m,m,m,m,deg,deg,deg,m,m,m,m,m,ms,deg/30m
744470.1758,9287362.39,69.76342773,1300,4.119999989,71.19999561,70.95188362,33.58580017,46.46951294,,,1297.526611,,0.728918753
744470.5083,9287362.503,64.77575684,1305,3.940000172,71.08999541,70.84188343,33.91833878,46.58306885,,,1302.514282,,1.080994006
744470.8294,9287362.614,59.78735352,1310,3.85000005,70.81999803,70.57188605,34.23939132,46.69388962,,,1307.502686,,0.551097579
744471.1417,9287362.725,54.79833984,1315,3.750000104,70.13999806,69.89188608,34.55171966,46.8045845,,,1312.491699,,0.658104041
744471.4441,9287362.836,49.80871582,1320,3.639999908,69.45999809,69.2118861,34.85412979,46.91582107,,,1317.481323,,0.710437229
744471.738,9287362.949,44.81860352,1325,3.579999898,68.51000073,68.26188875,35.14801025,47.02869797,,,1322.471436,,0.508326536
744472.0262,9287363.065,39.82824707,1330,3.549999999,67.44000379,67.19189181,35.43621826,47.14527511,,,1327.461792,,0.437896002
744472.3108,9287363.185,34.83776856,1335,3.529999925,66.93000039,66.68188841,35.72079086,47.26498031,,,1332.452271,,0.223827349
744472.5923,9287363.308,29.84716797,1340,3.510000064,66.03000003,65.78188804,36.00226593,47.38747787,,,1337.442871,,0.352587388
744472.8704,9287363.434,24.85656738,1345,3.500000026,64.94999686,64.70188487,36.28038788,47.51427841,,,1342.433472,,0.40067185
744473.1447,9287363.566,19.86584473,1350,3.479999952,63.66999891,63.42188693,36.5546608,47.6462059,,,1347.424194,,0.482657955
744473.4137,9287363.704,14.875,1355,3.450000053,62.18999937,61.94188739,36.82373428,47.78370285,,,1352.415039,,0.566057821
744473.6783,9287363.846,9.884033203,1360,3.440000016,61.27000021,61.02188823,37.08834458,47.92599869,,,1357.406006,,0.337077687
744473.9399,9287363.993,4.893066406,1365,3.440000016,60.05999805,59.81188607,37.34987641,48.07297134,,,1362.396973,,0.435616396
744474.198,9287364.143,-0.098022461,1370,3.410000118,59.47999888,59.23188689,37.60796356,48.22335434,,,1367.388062,,0.274993951
744474.4529,9287364.295,-5.089233398,1375,3.390000043,59.09000191,58.84188992,37.86289596,48.37480926,,,1372.379273,,0.183462804
